Case #1: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #84: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #85: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #86: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #87: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #88: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #89: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #90: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #91: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #92: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #93: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #94: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #95: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #96: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #97: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #98: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #99: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
Case #100: fucking backtracking is too complex, can't solve the submitInput, my way to skip to the next problem
